Id,Tipo,Objeto_Pai,Tipo_Objeto_Pai,Descricao_Breve,Ref_Legado_Arquivo,Ref_Legado_Linhas,Desc_Abordagem,Ref_Doc_Abordagem,Ref_Doc_Linhas,Status_Documentacao,Status_Implementacao,Status_Teste_Unitario
METOD-0066,METODO,,,CB2QP14A - Inquiry usuario V1USUARIOS,_LEGADO/cb2qa.esf,8740-8764,,,,,NOK,NOK,NOK
ENT-0001,ENTIDADE,,,BANCOS - Tabela bancos,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0002,ENTIDADE,,,CALENDARIO - Tabela calendario,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0003,ENTIDADE,,,CB2QR001 - Tabela registro debito automatico,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0004,ENTIDADE,,,CHEQUES_EMITIDOS - Tabela cheques emitidos,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0005,ENTIDADE,,,GE_LEGADO_PESSOA - Tabela pessoa legado GE,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0006,ENTIDADE,,,GE_MOVIMENTO - Tabela movimento GE,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0007,ENTIDADE,,,GE_MOVTO_CONTA - Tabela movimento conta GE,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0008,ENTIDADE,,,LOTE_CHEQUES - Tabela lote cheques,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0009,ENTIDADE,,,OD_PESSOA_FISICA - Tabela pessoa fisica,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0010,ENTIDADE,,,OD_PESSOA_JURIDICA - Tabela pessoa juridica,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0011,ENTIDADE,,,SI_AR_DETALHE_VC - Tabela sinistro AR detalhe VC,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0012,ENTIDADE,,,SINISTRO_HISTORICO - Tabela historico sinistro,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0013,ENTIDADE,,,V0APOLCOB - Tabela apolice cobranca,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0014,ENTIDADE,,,V0BILHETE - Tabela bilhete,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0015,ENTIDADE,,,V0CHEQUES - Tabela cheques,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0016,ENTIDADE,,,V0CLIENTE - Tabela cliente,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0017,ENTIDADE,,,V0FERIADOS - Tabela feriados,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0018,ENTIDADE,,,V0HISTCOBVA - Tabela historico cobranca VA,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0019,ENTIDADE,,,V0HISTSINI - Tabela historico sinistro,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0020,ENTIDADE,,,V0MESTSINI - Tabela mes sinistro,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0021,ENTIDADE,,,V0MOVDEBCC_CEF - Tabela movimento debito CC CEF,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0022,ENTIDADE,,,V0PARCELA - Tabela parcela,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0023,ENTIDADE,,,V0PROPOSTA - Tabela proposta,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0024,ENTIDADE,,,V0PROPOSTAVA - Tabela proposta VA,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0025,ENTIDADE,,,V1ENDOSSO - Tabela endosso,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0026,ENTIDADE,,,V1MOVDEBCC_CEF - Tabela movimento debito CC CEF v1,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0027,ENTIDADE,,,V1SISTEMA - Tabela sistema,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0028,ENTIDADE,,,V1USUARIOS - Tabela usuarios,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
ENT-0029,ENTIDADE,,,CB2QW001 - Workstorage area principal,_LEGADO/cb2qa.esf,27,,,,,NOK,NOK,NA
ENT-0030,ENTIDADE,,,CB2QW002 - Workstorage area secundaria,_LEGADO/cb2qa.esf,29,,,,,NOK,NOK,NA
ENT-0031,ENTIDADE,,,CB2QW003 - Workstorage area terciaria,_LEGADO/cb2qa.esf,31,,,,,NOK,NOK,NA
ENT-0032,ENTIDADE,,,CB2QW004 - Workstorage area quaternaria,_LEGADO/cb2qa.esf,33,,,,,NOK,NOK,NA
ENT-0033,ENTIDADE,,,ZZ20W01 - Workstorage formatacao,_LEGADO/cb2qa.esf,43,,,,,NOK,NOK,NA
ENT-0034,ENTIDADE,,,ZZ99W01 - Workstorage controle usuario,_LEGADO/cb2qa.esf,25,,,,,NOK,NOK,NA
ENT-0035,ENTIDADE,,,ZZ01W001 - Workstorage global sistema,_LEGADO/cb2qa.esf,4,,,,,NOK,NOK,NA
ENT-0036,ENTIDADE,,,CB2QT01 - Tabela dominio tipo cobranca,_LEGADO/cb2qa.esf,35,,,,,NOK,NOK,NA
ENT-0037,ENTIDADE,,,CB2QT02 - Tabela dominio situacao cobranca,_LEGADO/cb2qa.esf,37,,,,,NOK,NOK,NA
ENT-0038,ENTIDADE,,,CB2QT03 - Tabela dominio situacao parcela,_LEGADO/cb2qa.esf,39,,,,,NOK,NOK,NA
ENT-0039,ENTIDADE,,,CB2QT04 - Tabela dominio forma cobranca,_LEGADO/cb2qa.esf,41,,,,,NOK,NOK,NA
ENT-0040,ENTIDADE,,,CB2QT05 - Tabela dominio tipo documento,_LEGADO/cb2qa.esf,23,,,,,NOK,NOK,NA
ENT-0041,ENTIDADE,,,CB2QT06 - Tabela dominio tipo segurado,_LEGADO/cb2qa.esf,21,,,,,NOK,NOK,NA
OBJ-0001,OBJETO,CB2QM010,TELA,MNUEMP - Menu/Empresa,_LEGADO/cb2qa.esf,98,,,,,NOK,NOK,NA
OBJ-0002,OBJETO,CB2QM010,TELA,DATA - Data do processamento,_LEGADO/cb2qa.esf,117,,,,,NOK,NOK,NA
OBJ-0003,OBJETO,CB2QM010,TELA,VERSAO - Versao do sistema,_LEGADO/cb2qa.esf,140,,,,,NOK,NOK,NA
OBJ-0004,OBJETO,CB2QM010,TELA,NOMSIS - Nome do sistema,_LEGADO/cb2qa.esf,165,,,,,NOK,NOK,NA
OBJ-0005,OBJETO,CB2QM010,TELA,HORA - Hora do sistema,_LEGADO/cb2qa.esf,183,,,,,NOK,NOK,NA
OBJ-0006,OBJETO,CB2QM010,TELA,GRUFUC - Grupo de funcoes,_LEGADO/cb2qa.esf,202,,,,,NOK,NOK,NA
OBJ-0007,OBJETO,CB2QM010,TELA,NUM_TITULO - Numero titulo (foco inicial),_LEGADO/cb2qa.esf,228,,,,,NOK,NOK,NA
OBJ-0008,OBJETO,CB2QM010,TELA,NUM_APOLICE - Numero apolice,_LEGADO/cb2qa.esf,314,,,,,NOK,NOK,NA
OBJ-0009,OBJETO,CB2QM010,TELA,NRENDOS - Numero endosso,_LEGADO/cb2qa.esf,343,,,,,NOK,NOK,NA
OBJ-0010,OBJETO,CB2QM010,TELA,COD_AGENCIA_DEB - Codigo agencia debito,_LEGADO/cb2qa.esf,407,,,,,NOK,NOK,NA
OBJ-0011,OBJETO,CB2QM010,TELA,OPER_CONTA_DEB - Operacao conta debito,_LEGADO/cb2qa.esf,429,,,,,NOK,NOK,NA
OBJ-0012,OBJETO,CB2QM010,TELA,NUM_CONTA_DEB - Numero conta debito,_LEGADO/cb2qa.esf,451,,,,,NOK,NOK,NA
OBJ-0013,OBJETO,CB2QM010,TELA,DIG_CONTA_DEB - Digito conta debito,_LEGADO/cb2qa.esf,473,,,,,NOK,NOK,NA
OBJ-0014,OBJETO,CB2QM010,TELA,WK_CARTAO1 - Numero cartao credito,_LEGADO/cb2qa.esf,524,,,,,NOK,NOK,NA
OBJ-0015,OBJETO,CB2QM010,TELA,DIG_NUM_CARTAO - Digito cartao,_LEGADO/cb2qa.esf,545,,,,,NOK,NOK,NA
OBJ-0016,OBJETO,CB2QM010,TELA,EZEMSG - Mensagem sistema,_LEGADO/cb2qa.esf,566,,,,,NOK,NOK,NA
OBJ-0017,OBJETO,CB2QM020,TELA,QTD_REGISTROS - Quantidade registros,_LEGADO/cb2qa.esf,720,,,,,NOK,NOK,NA
OBJ-0018,OBJETO,CB2QM020,TELA,ACPAG2 - Numero pagina,_LEGADO/cb2qa.esf,747,,,,,NOK,NOK,NA
OBJ-0019,OBJETO,CB2QM020,TELA,COD_CONVENIO - Codigo convenio (foco),_LEGADO/cb2qa.esf,794,,,,,NOK,NOK,NA
OBJ-0020,OBJETO,CB2QM020,TELA,NUM_APOLICE - Numero apolice,_LEGADO/cb2qa.esf,808,,,,,NOK,NOK,NA
OBJ-0021,OBJETO,CB2QM020,TELA,NRENDOS - Numero endosso,_LEGADO/cb2qa.esf,822,,,,,NOK,NOK,NA
OBJ-0022,OBJETO,CB2QM020,TELA,TIPO_COBRANCA - Tipo cobranca,_LEGADO/cb2qa.esf,836,,,,,NOK,NOK,NA
OBJ-0023,OBJETO,CB2QM020,TELA,W01A0028 - Dados movimento,_LEGADO/cb2qa.esf,848,,,,,NOK,NOK,NA
OBJ-0024,OBJETO,CB2QM020,TELA,NOME_SEGURADO - Nome segurado,_LEGADO/cb2qa.esf,860,,,,,NOK,NOK,NA
OBJ-0025,OBJETO,CB2QM030,TELA,NOME_RAZAO - Nome ou razao social,_LEGADO/cb2qa.esf,1590,,,,,NOK,NOK,NA
OBJ-0026,OBJETO,CB2QM030,TELA,NUM_APOLICE - Numero apolice,_LEGADO/cb2qa.esf,1617,,,,,NOK,NOK,NA
OBJ-0027,OBJETO,CB2QM030,TELA,NRENDOS - Numero endosso,_LEGADO/cb2qa.esf,1638,,,,,NOK,NOK,NA
OBJ-0028,OBJETO,CB2QM030,TELA,COD_CONVENIO - Codigo convenio,_LEGADO/cb2qa.esf,1672,,,,,NOK,NOK,NA
OBJ-0029,OBJETO,CB2QM030,TELA,W01A0028 - Dados cartao ou conta,_LEGADO/cb2qa.esf,1693,,,,,NOK,NOK,NA
OBJ-0030,OBJETO,CB2QM030,TELA,QTD_REGISTROS - Quantidade registros,_LEGADO/cb2qa.esf,1704,,,,,NOK,NOK,NA
OBJ-0031,OBJETO,CB2QM030,TELA,ACPAG3 - Numero pagina,_LEGADO/cb2qa.esf,1730,,,,,NOK,NOK,NA
OBJ-0032,OBJETO,CB2QM030,TELA,NRPARCEL - Numero parcela (foco),_LEGADO/cb2qa.esf,1819,,,,,NOK,NOK,NA
OBJ-0033,OBJETO,CB2QM030,TELA,DTVENCTO - Data vencimento,_LEGADO/cb2qa.esf,1833,,,,,NOK,NOK,NA
OBJ-0034,OBJETO,CB2QM030,TELA,VLR_DEBITO - Valor debito,_LEGADO/cb2qa.esf,1849,,,,,NOK,NOK,NA
OBJ-0035,OBJETO,CB2QM030,TELA,TIPO_COBRANCA - Tipo cobranca,_LEGADO/cb2qa.esf,1863,,,,,NOK,NOK,NA
OBJ-0036,OBJETO,CB2QM030,TELA,SIT_COBRA - Situacao cobranca,_LEGADO/cb2qa.esf,1876,,,,,NOK,NOK,NA
OBJ-0037,OBJETO,CB2QM030,TELA,SIT_PARC - Situacao parcela,_LEGADO/cb2qa.esf,1889,,,,,NOK,NOK,NA
OBJ-0038,OBJETO,CB2QM030,TELA,FORMA_COBRA - Forma cobranca,_LEGADO/cb2qa.esf,1902,,,,,NOK,NOK,NA
OBJ-0039,OBJETO,CB2QM040,TELA,NOME_RAZAO - Nome razao social,_LEGADO/cb2qa.esf,2705,,,,,NOK,NOK,NA
OBJ-0040,OBJETO,CB2QM040,TELA,CB2Q_CPFCNPJ - CPF ou CNPJ,_LEGADO/cb2qa.esf,2725,,,,,NOK,NOK,NA
OBJ-0041,OBJETO,CB2QM040,TELA,NUM_APOLICE - Numero apolice,_LEGADO/cb2qa.esf,2753,,,,,NOK,NOK,NA
OBJ-0042,OBJETO,CB2QM040,TELA,NRENDOS - Numero endosso,_LEGADO/cb2qa.esf,2775,,,,,NOK,NOK,NA
OBJ-0043,OBJETO,CB2QM040,TELA,NRPARCEL - Numero parcela,_LEGADO/cb2qa.esf,2803,,,,,NOK,NOK,NA
OBJ-0044,OBJETO,CB2QM040,TELA,DTVENCTO - Data vencimento,_LEGADO/cb2qa.esf,2824,,,,,NOK,NOK,NA
OBJ-0045,OBJETO,CB2QM040,TELA,VLR_DEBITO - Valor debito,_LEGADO/cb2qa.esf,2853,,,,,NOK,NOK,NA
OBJ-0046,OBJETO,CB2QM040,TELA,SIT_COBRA - Situacao cobranca,_LEGADO/cb2qa.esf,2874,,,,,NOK,NOK,NA
OBJ-0047,OBJETO,CB2QM040,TELA,TIPO_COBRANCA - Tipo cobranca,_LEGADO/cb2qa.esf,2900,,,,,NOK,NOK,NA
OBJ-0048,OBJETO,CB2QM040,TELA,DTMOVTO - Data movimento,_LEGADO/cb2qa.esf,2919,,,,,NOK,NOK,NA
OBJ-0049,OBJETO,CB2QM040,TELA,NOMUSU - Nome usuario,_LEGADO/cb2qa.esf,2947,,,,,NOK,NOK,NA
OBJ-0050,OBJETO,CB2QM040,TELA,COD_BANCO - Codigo banco,_LEGADO/cb2qa.esf,2965,,,,,NOK,NOK,NA
OBJ-0051,OBJETO,CB2QM040,TELA,CB2Q_DESC - Descricao banco,_LEGADO/cb2qa.esf,2977,,,,,NOK,NOK,NA
OBJ-0052,OBJETO,CB2QM040,TELA,COD_CONVENIO - Codigo convenio,_LEGADO/cb2qa.esf,3033,,,,,NOK,NOK,NA
OBJ-0053,OBJETO,CB2QM040,TELA,W01A0028 - Dados cartao ou conta,_LEGADO/cb2qa.esf,3053,,,,,NOK,NOK,NA
OBJ-0054,OBJETO,CB2QM040,TELA,DADOS_GE_MOVTO_CONTA - Dados movimento conta,_LEGADO/cb2qa.esf,3064,,,,,NOK,NOK,NA
OBJ-0055,OBJETO,CB2QM040,TELA,NSAS - Numero fita envio,_LEGADO/cb2qa.esf,3109,,,,,NOK,NOK,NA
OBJ-0056,OBJETO,CB2QM040,TELA,DATA_ENVIO - Data envio,_LEGADO/cb2qa.esf,3130,,,,,NOK,NOK,NA
OBJ-0057,OBJETO,CB2QM040,TELA,NSAC - Numero fita retorno,_LEGADO/cb2qa.esf,3159,,,,,NOK,NOK,NA
OBJ-0058,OBJETO,CB2QM040,TELA,DATA_RETORNO - Data retorno,_LEGADO/cb2qa.esf,3180,,,,,NOK,NOK,NA
OBJ-0059,OBJETO,CB2QM040,TELA,DATAPAG - Data pagamento,_LEGADO/cb2qa.esf,3200,,,,,NOK,NOK,NA
OBJ-0060,OBJETO,CB2QM040,TELA,DTCREDITO - Data credito,_LEGADO/cb2qa.esf,3212,,,,,NOK,NOK,NA
OBJ-0061,OBJETO,CB2QM040,TELA,NUM_CHEQUE - Numero cheque,_LEGADO/cb2qa.esf,3234,,,,,NOK,NOK,NA
OBJ-0062,OBJETO,CB2QM040,TELA,DIG_CHEQUE - Digito cheque,_LEGADO/cb2qa.esf,3254,,,,,NOK,NOK,NA
OBJ-0063,OBJETO,CB2QM040,TELA,CODRET - Codigo retorno,_LEGADO/cb2qa.esf,3273,,,,,NOK,NOK,NA
OBJ-0064,OBJETO,CB2QM040,TELA,DESCRET - Descricao retorno,_LEGADO/cb2qa.esf,3285,,,,,NOK,NOK,NA
FTELA-0001,FUNCAO_TELA,CB2QM010,TELA,CB2QP010 - Apresenta tela consulta,_LEGADO/cb2qa.esf,3666-3682,,,,,NOK,NOK,NOK
FTELA-0002,FUNCAO_TELA,CB2QM020,TELA,CB2QP020 - Apresenta tela listagem,_LEGADO/cb2qa.esf,4009-4025,,,,,NOK,NOK,NOK
FTELA-0003,FUNCAO_TELA,CB2QM030,TELA,CB2QP030 - Apresenta tela parcelas,_LEGADO/cb2qa.esf,4210-4226,,,,,NOK,NOK,NOK
FTELA-0004,FUNCAO_TELA,CB2QM040,TELA,CB2QP040 - Apresenta tela detalhamento,_LEGADO/cb2qa.esf,4346-4362,,,,,NOK,NOK,NOK
